trans_id	strand	gene_id	gene_name	gene_start	gene_stop	trans_start	trans_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000272427	-	ENSG00000144036	EXOC6B	72175984	72826041	132	2567	2436	131	3351	5918
ENST00000272433	-	ENSG00000144040	SFXN5	72942036	73071836	132	1154	1023	131	2986	4140
ENST00000272438	-	ENSG00000144043	TEX261	70985938	70994945	189	779	591	188	2662	3441
ENST00000272452	+	ENSG00000198075	SULT1C4	108378012	108388057	327	1235	909	326	625	1860
ENST00000272462	-	ENSG00000144063	MALL	110083870	110116566	775	1236	462	774	1825	3061
ENST00000272519	+	ENSG00000144118	RALB	120252758	120294713	271	891	621	270	1453	2344
ENST00000272520	-	ENSG00000144119	C1QL2	119156243	119158889	621	1484	864	620	559	2043
ENST00000272542	+	ENSG00000144136	SLC20A1	112645857	112663827	540	2579	2040	539	802	3381
ENST00000272638	+	ENSG00000144224	UBXN4	135741619	135785055	312	1838	1527	311	2168	4006
ENST00000272641	-	ENSG00000144227	NXPH2	138670772	138780348	108	902	795	107	150	1052
ENST00000272645	-	ENSG00000144231	POLR2D	127843551	127858157	58	486	429	57	4556	5042
ENST00000272647	-	ENSG00000144233	AMMECR1L	127861630	127885922	262	1194	933	261	3464	4658
ENST00000272732	+	ENSG00000144306	SCRN3	174395745	174429575	83	1357	1275	82	1680	3037
ENST00000272793	+	ENSG00000144357	UBR3	169827458	170084131	51	5717	5667	50	2288	8005
ENST00000272847	+	ENSG00000144407	PTH2R	208406831	208494506	214	1866	1653	213	847	2713
ENST00000272852	+	ENSG00000144410	CPO	206939554	206969474	47	1171	1125	46	38	1209
ENST00000272895	-	ENSG00000144452	ABCA12	214931542	215138428	221	8008	7788	220	1092	9100
ENST00000272902	-	ENSG00000144455	SUMF1	4361146	4467281	37	1161	1125	36	998	2159
ENST00000272928	+	ENSG00000144476	ACKR3	236569641	236582358	311	1399	1089	310	804	2203
ENST00000273038	-	ENSG00000144560	VGLL4	11556070	11720746	367	1239	873	366	2486	3725
ENST00000273047	+	ENSG00000144566	RAB5A	19947079	19985175	537	1184	648	536	1352	2536
ENST00000273062	+	ENSG00000144579	CTDSP1	218399755	218405941	337	1122	786	336	1516	2638
ENST00000273064	+	ENSG00000144580	CNOT9	218568580	218597080	376	1275	900	375	2804	4079
ENST00000273067	-	ENSG00000144583	4-Mar	216257865	216372027	1768	3000	1233	1767	1447	4447
ENST00000273075	-	ENSG00000123992	DNPEP	219373546	219388015	222	1679	1458	221	746	2425
ENST00000273077	+	ENSG00000127838	PNKD	218270485	218346793	52	1209	1158	51	1812	3021
ENST00000273130	-	ENSG00000144635	DYNC1LI1	32525971	32570874	105	1676	1572	104	828	2504
ENST00000273153	-	ENSG00000144655	CSRNP1	39141855	39153575	179	1948	1770	178	1200	3148
ENST00000273158	+	ENSG00000144659	SLC25A38	39383348	39397351	378	1292	915	377	831	2123
ENST00000273173	+	ENSG00000144671	SLC22A14	38305936	38318575	92	1876	1785	91	326	2202
ENST00000273183	+	ENSG00000144681	STAC	36380344	36548007	301	1509	1209	300	1718	3227
ENST00000273221	-	ENSG00000144711	IQSEC1	12897220	12967668	218	3109	2892	217	2170	5279
ENST00000273258	+	ENSG00000144746	ARL6IP5	69084944	69106066	105	671	567	104	1430	2101
ENST00000273283	+	ENSG00000055957	ITIH1	52777592	52792062	25	2760	2736	24	151	2911
ENST00000273286	-	ENSG00000144771	LRTM1	54918237	54928074	164	1201	1038	163	222	1423
ENST00000273308	-	ENSG00000257727	CNPY2	56310428	56316336	542	1090	549	541	124	1214
ENST00000273317	+	ENSG00000144791	LIMD1	45594859	45686338	22	2052	2031	21	9279	11331
ENST00000273320	+	ENSG00000196345	ZKSCAN7	44555208	44572158	430	2694	2265	429	783	3477
ENST00000273352	+	ENSG00000144820	ADGRG7	100609589	100695479	269	2662	2394	268	478	3140
ENST00000273353	-	ENSG00000144821	MYH15	108380369	108529322	58	5898	5841	57	1176	7074
ENST00000273359	+	ENSG00000144827	ABHD10	111979035	111993363	28	948	921	27	1642	2590
ENST00000273371	+	ENSG00000144837	PLA1A	119597842	119629811	73	1443	1371	72	343	1786
ENST00000273375	-	ENSG00000144840	RABL3	120686681	120742537	31	741	711	30	3142	3883
ENST00000273390	+	ENSG00000183833	MAATS1	119703022	119767102	78	2381	2304	77	2052	4433
ENST00000273398	+	ENSG00000114573	ATP6V1A	113747019	113812056	109	1962	1854	108	2629	4591
ENST00000273480	+	ENSG00000114125	RNF7	141738204	141747560	139	480	342	138	2283	2763
ENST00000273482	+	ENSG00000144935	TRPC1	142724169	142807888	392	2671	2280	391	1653	4324
ENST00000273550	-	ENSG00000167996	FTH1	61964285	61967660	236	787	552	235	442	1229
ENST00000273582	-	ENSG00000145016	RUBCN	197671393	197749699	547	3330	2784	546	3625	6955
ENST00000273588	-	ENSG00000145020	AMT	49416775	49422753	304	1515	1212	303	765	2280
ENST00000273590	+	ENSG00000145022	TCTA	49412206	49416475	222	533	312	221	1613	2146
ENST00000273598	-	ENSG00000145029	NICN1	49422946	49429326	88	729	642	87	1887	2616
ENST00000273610	-	ENSG00000145040	UCN2	48561727	48563773	84	422	339	83	1059	1481
ENST00000273666	+	ENSG00000145087	STXBP5L	120908072	121424761	272	3832	3561	271	5664	9496
ENST00000273668	+	ENSG00000145088	EAF2	121835215	121886526	72	854	783	71	138	992
ENST00000273691	-	ENSG00000145103	ILDR1	121987323	122022183	107	1615	1509	106	1044	2659
ENST00000273783	+	ENSG00000145191	EIF2B5	184135264	184145310	123	2288	2166	122	367	2655
ENST00000273814	-	ENSG00000145214	DGKQ	958887	973556	75	2903	2829	74	1733	4636
ENST00000273853	-	ENSG00000145241	CENPC	67468748	67545606	252	3083	2832	251	3857	6940
ENST00000273857	-	ENSG00000145244	CORIN	47593998	47837949	1	3129	3129	0	1723	4852
ENST00000273859	+	ENSG00000145246	ATP10D	47485288	47593486	270	4550	4281	269	2105	6655
ENST00000273861	+	ENSG00000145248	SLC10A4	48483343	48489196	220	1533	1314	219	257	1790
ENST00000273905	-	ENSG00000145283	SLC10A6	86823468	86849263	149	1282	1134	148	220	1502
ENST00000273920	+	ENSG00000145293	ENOPH1	82430562	82461091	269	1054	786	268	971	2025
ENST00000273936	+	ENSG00000145309	CABS1	70334966	70337116	75	1262	1188	74	270	1532
ENST00000273951	-	ENSG00000145321	GC	71741693	71784362	345	1769	1425	344	203	1972
ENST00000273962	-	ENSG00000145331	TRMT10A	99546727	99563668	314	1333	1020	313	2361	3694
ENST00000273963	-	ENSG00000145332	KLHL8	87160103	87220608	343	2205	1863	342	3416	5621
ENST00000273968	-	ENSG00000145337	PYURF	88520985	88523813	114	458	345	113	903	1361
ENST00000273980	-	ENSG00000145348	TBCK	106041599	106321495	449	3130	2682	448	4971	8101
ENST00000273986	+	ENSG00000145354	CISD2	102868978	102889242	108	515	408	107	1812	2327
ENST00000273990	-	ENSG00000145358	DDIT4L	100185870	100190468	216	797	582	215	1807	2604
ENST00000274000	+	ENSG00000138660	AP1AR	112231737	112270047	356	1264	909	355	1638	2902
ENST00000274008	+	ENSG00000145375	SPATA5	122923074	123319450	70	2751	2682	69	5386	8137
ENST00000274024	-	ENSG00000145384	FABP2	119317250	119322390	289	687	399	288	1791	2478
ENST00000274031	-	ENSG00000145391	SETD7	139506036	139556774	638	1738	1101	637	5627	7365
ENST00000274054	-	ENSG00000145414	NAF1	163128669	163166921	195	1679	1485	194	228	1907
ENST00000274063	-	ENSG00000145423	SFRP2	153780592	153789120	286	1173	888	285	859	2032
ENST00000274093	-	ENSG00000145451	GLRA3	174636914	174829314	504	1898	1395	503	6872	8770
ENST00000274137	+	ENSG00000145494	NDUFS6	1801400	1816605	19	393	375	18	689	1082
ENST00000274140	+	ENSG00000145495	6-Mar	10353767	10440388	133	2865	2733	132	6704	9569
ENST00000274181	+	ENSG00000145536	ADAMTS16	5140330	5320304	139	3813	3675	138	1166	4979
ENST00000274192	+	ENSG00000145545	SRD5A1	6633343	6674386	235	1014	780	234	6118	7132
ENST00000274203	-	ENSG00000145555	MYO10	16661914	16936276	469	6678	6210	468	4778	11456
ENST00000274217	+	ENSG00000145569	FAM105A	14581775	14612720	121	1191	1071	120	2406	3597
ENST00000274242	-	ENSG00000145592	RPL37	40825262	40835335	151	444	294	150	7242	7686
ENST00000274255	+	ENSG00000145604	SKP2	36152067	36184319	197	1471	1275	196	2288	3759
ENST00000274276	+	ENSG00000145623	OSMR	38845999	38935641	403	3342	2940	402	2197	5539
ENST00000274278	-	ENSG00000145626	UGT3A1	35951010	35991598	359	1930	1572	358	3192	5122
ENST00000274289	-	ENSG00000145632	PLK2	58453982	58460260	302	2359	2058	301	601	2960
ENST00000274306	+	ENSG00000145649	GZMA	55102648	55110252	36	824	789	35	70	894
ENST00000274311	+	ENSG00000152684	PELO	52787940	52804046	986	2143	1158	985	2206	4349
ENST00000274341	-	ENSG00000145681	HAPLN1	83637805	83721613	852	1916	1065	851	3691	5607
ENST00000274353	+	ENSG00000145692	BHMT	79111779	79132290	108	1328	1221	107	1174	2502
ENST00000274364	+	ENSG00000145703	IQGAP2	76403249	76708132	298	5025	4728	297	819	5844
ENST00000274368	+	ENSG00000145708	CRHBP	76952713	76969474	423	1391	969	422	589	1980
ENST00000274382	-	ENSG00000145721	LIX1	97091867	97142872	297	1145	849	296	2881	4026
ENST00000274400	-	ENSG00000145736	GTF2H2	71032670	71067601	142	1329	1188	141	3007	4336
ENST00000274432	-	ENSG00000145757	SPATA9	95658430	95682996	143	907	765	142	193	1100
ENST00000274457	-	ENSG00000145780	FEM1C	115520908	115544894	563	2416	1854	562	3400	5816
ENST00000274458	+	ENSG00000145781	COMMD10	116084991	116293287	63	671	609	62	798	1469
ENST00000274473	+	ENSG00000145794	MEGF10	127290859	127461222	268	3690	3423	267	3904	7594
ENST00000274487	+	ENSG00000145808	ADAMTS19	129460265	129738683	128	3769	3642	127	1465	5234
ENST00000274496	-	ENSG00000145817	YIPF5	144158159	144170659	136	909	774	135	2238	3147
ENST00000274507	-	ENSG00000145826	LECT2	135946911	135955034	202	657	456	201	420	1077
ENST00000274520	-	ENSG00000145839	IL9	135892246	135895827	12	446	435	11	145	591
ENST00000274532	-	ENSG00000145850	TIMD4	156919282	156963255	58	1194	1137	57	175	1369
ENST00000274547	-	ENSG00000145864	GABRB2	161288429	161548124	219	1757	1539	218	5652	7409
ENST00000274565	+	ENSG00000145879	SPINK7	148312423	148315922	62	319	258	61	238	557
ENST00000274576	-	ENSG00000145888	GLRA1	151822513	151924842	294	1643	1350	293	160	1803
ENST00000274605	+	ENSG00000145911	N4BP3	178113443	178126087	360	1994	1635	359	4086	6080
ENST00000274606	-	ENSG00000145912	NHP2	178149460	178153967	151	612	462	150	253	865
ENST00000274625	+	ENSG00000156427	FGF18	171419656	171457623	545	1168	624	544	818	1986
ENST00000274629	-	ENSG00000145936	KCNMB1	170374671	170389677	444	1019	576	443	4033	5052
ENST00000274643	-	ENSG00000145949	MYLK4	2663629	2750966	344	1510	1167	343	4296	5806
ENST00000274673	-	ENSG00000145975	FAM217A	4068362	4079221	405	1931	1527	404	334	2265
ENST00000274695	+	ENSG00000145996	CDKAL1	20534457	21232404	168	1907	1740	167	1365	3272
ENST00000274710	+	ENSG00000146005	PSD2	139795821	139844466	206	2521	2316	205	1992	4513
ENST00000274711	-	ENSG00000146006	LRRTM2	138868923	138875290	380	1930	1551	379	4087	6017
ENST00000274712	+	ENSG00000146007	ZMAT2	140700334	140706676	128	727	600	127	920	1647
ENST00000274721	-	ENSG00000146013	GFRA3	138252379	138274671	248	1450	1203	247	589	2039
ENST00000274764	+	ENSG00000146047	HIST1H2BA	25726777	25727292	133	516	384	132	0	516
ENST00000274766	+	ENSG00000146049	KAAG1	24356903	24358284	738	992	255	737	390	1382
ENST00000274787	+	ENSG00000146066	HIGD2A	176388747	176389771	74	394	321	73	274	668
ENST00000274793	-	ENSG00000146070	PLA2G7	46704201	46735342	198	1523	1326	197	359	1882
ENST00000274811	-	ENSG00000146083	RNF44	176526697	176537420	526	1824	1299	525	2331	4155
ENST00000274813	-	ENSG00000146085	MUT	49430360	49463191	129	2381	2253	128	1368	3749
ENST00000274849	+	ENSG00000146109	ABT1	26596952	26600744	32	850	819	31	2099	2949
ENST00000274853	-	ENSG00000146112	PPP1R18	30676389	30687895	1878	3719	1842	1877	880	4599
ENST00000274938	+	ENSG00000146197	SCUBE3	35214419	35253079	1	2982	2982	0	4374	7356
ENST00000274963	+	ENSG00000146192	FGD2	37005647	37029070	172	2139	1968	171	907	3046
ENST00000274979	+	ENSG00000146205	ANO7	241188509	241225376	104	2905	2802	103	1223	4128
ENST00000275015	-	ENSG00000146232	NFKBIE	44258166	44265788	26	1528	1503	25	1053	2581
ENST00000275034	-	ENSG00000146247	PHIP	78935867	79078236	169	5634	5466	168	4826	10460
ENST00000275053	-	ENSG00000146263	MMS22L	97142161	97283176	267	3998	3732	266	4645	8643
ENST00000275072	+	ENSG00000146281	PM20D2	89146050	89165565	96	1406	1311	95	3302	4708
ENST00000275159	-	ENSG00000146350	TBC1D32	121080237	121334430	1	3897	3897	0	534	4431
ENST00000275162	+	ENSG00000146352	CLVS2	122995971	123072927	1336	2319	984	1335	9166	11485
ENST00000275191	-	ENSG00000146378	TAAR2	132617022	132618178	109	1029	921	108	128	1157
ENST00000275198	+	ENSG00000146383	TAAR6	132570322	132571359	1	1038	1038	0	0	1038
ENST00000275200	+	ENSG00000146385	TAAR8	132552693	132553721	1	1029	1029	0	0	1029
ENST00000275216	-	ENSG00000146399	TAAR1	132644984	132646003	1	1020	1020	0	0	1020
ENST00000275227	-	ENSG00000146409	SLC18B1	132769370	132798553	98	1468	1371	97	900	2368
ENST00000275230	-	ENSG00000146411	SLC2A12	133988697	134052636	157	2010	1854	156	2458	4468
ENST00000275300	+	ENSG00000146477	SLC22A3	160348268	160452581	153	1823	1671	152	1525	3348
ENST00000275358	-	ENSG00000146530	VWDE	12330885	12403905	190	4962	4773	189	298	5260
ENST00000275364	-	ENSG00000146535	GNA12	2728112	2844324	164	1309	1146	163	3069	4378
ENST00000275428	-	ENSG00000006625	GGCT	30496621	30504844	136	702	567	135	471	1173
ENST00000275461	-	ENSG00000146618	FERD3L	19144782	19145421	60	560	501	59	80	640
ENST00000275493	+	ENSG00000146648	EGFR	55019101	55211628	178	3810	3633	177	6011	9821
ENST00000275517	-	ENSG00000146670	CDCA5	65077452	65084151	174	932	759	173	1655	2587
ENST00000275525	+	ENSG00000146678	IGFBP1	45888357	45893668	297	1076	780	296	577	1653
ENST00000275560	-	ENSG00000146700	SSC4D	76389334	76409695	349	2076	1728	348	725	2801
ENST00000275603	+	ENSG00000146731	CCT6A	56051630	56063989	220	1815	1596	219	904	2719
ENST00000275732	-	ENSG00000146830	GIGYF1	100679507	100689448	1211	4318	3108	1210	2212	6530
ENST00000275764	+	ENSG00000146857	STRA8	135231979	135258492	1	993	993	0	0	993
ENST00000275766	-	ENSG00000146858	ZC3HAV1L	139025706	139036029	13	915	903	12	838	1753
ENST00000275767	+	ENSG00000146859	TMEM140	135148072	135166215	224	781	558	223	1216	1997
ENST00000275815	-	ENSG00000146904	EPHA1	143391112	143408892	88	3018	2931	87	345	3363
ENST00000275820	+	ENSG00000146909	NOM1	156949723	156973182	16	2598	2583	15	3479	6077
ENST00000275838	-	ENSG00000146926	ASB10	151175698	151187391	262	1551	1290	261	269	1820
ENST00000275884	-	ENSG00000146966	DENND2A	140518420	140640776	419	3448	3030	418	287	3735
ENST00000275954	-	ENSG00000147027	TMEM47	34627064	34657288	260	805	546	259	3249	4054
ENST00000276055	+	ENSG00000147119	CHST7	46573784	46598408	149	1609	1461	148	680	2289
ENST00000276077	+	ENSG00000147138	GPR174	79170972	79172229	37	1038	1002	36	220	1258
ENST00000276101	-	ENSG00000147160	AWAT2	70040542	70049938	7	1008	1002	6	1116	2124
ENST00000276127	+	ENSG00000147183	CPXCR1	88747225	88754785	260	1165	906	259	465	1630
ENST00000276173	-	ENSG00000147223	RIPPLY1	106900063	106903317	31	486	456	30	686	1172
ENST00000276185	+	ENSG00000147234	FRMPD3	107522450	107605244	1	5433	5433	0	1871	7304
ENST00000276198	+	ENSG00000147246	HTR2C	114584078	114910061	729	2105	1377	728	2646	4751
ENST00000276201	-	ENSG00000125351	UPF3B	119834022	119852998	71	1522	1452	70	856	2378
ENST00000276204	+	ENSG00000147251	DOCK11	118495898	118686163	75	6308	6234	74	356	6664
ENST00000276211	+	ENSG00000147256	ARHGAP36	131058242	131089879	346	1989	1644	345	1094	3083
ENST00000276218	-	ENSG00000147262	GPR119	130384440	130385447	1	1008	1008	0	0	1008
ENST00000276282	-	ENSG00000147324	MFHAS1	8783354	8893645	588	3746	3159	587	2668	6414
ENST00000276297	-	ENSG00000164741	DLC1	13083361	13514886	411	4997	4587	410	2450	7447
ENST00000276390	+	ENSG00000147416	ATP6V1B2	20197367	20221701	41	1576	1536	40	1299	2875
ENST00000276410	-	ENSG00000147434	CHRNA6	42752620	42768786	357	1841	1485	356	559	2400
ENST00000276414	-	ENSG00000147437	GNRH1	25419262	25424654	1325	1603	279	1324	157	1760
ENST00000276416	-	ENSG00000147439	BIN3	22620418	22669120	70	831	762	69	1004	1835
ENST00000276420	-	ENSG00000147443	DOK2	21908873	21913860	260	1498	1239	259	438	1936
ENST00000276431	-	ENSG00000120889	TNFRSF10B	23020133	23069179	286	1608	1323	285	2538	4146
ENST00000276440	+	ENSG00000147459	DOCK5	25184865	25415716	45	5657	5613	44	4418	10075
ENST00000276449	-	ENSG00000147465	STAR	38143649	38151265	448	1305	858	447	624	1929
ENST00000276461	+	ENSG00000147475	ERLIN2	37736627	37759101	68	1087	1020	67	4986	6073
ENST00000276480	-	ENSG00000147488	ST18	52110839	52409743	685	3828	3144	684	2359	6187
ENST00000276569	-	ENSG00000104442	ARMC1	65602456	65634207	246	1094	849	245	1938	3032
ENST00000276570	+	ENSG00000147570	DNAJC5B	66021560	66100526	288	887	600	287	495	1382
ENST00000276571	-	ENSG00000147571	CRH	66176382	66178725	448	1038	591	447	505	1543
ENST00000276585	-	ENSG00000147586	MRPS28	79918717	80030271	24	587	564	23	263	850
ENST00000276590	-	ENSG00000147592	LACTB2	70637256	70669157	38	904	867	37	604	1508
ENST00000276594	-	ENSG00000147596	PRDM14	70051651	70071327	203	1918	1716	202	426	2344
ENST00000276602	+	ENSG00000147601	TERF1	73008864	73048122	24	1283	1260	23	1985	3268
ENST00000276609	+	ENSG00000147606	SLC26A7	91249288	91398150	240	2210	1971	239	3053	5263
ENST00000276616	-	ENSG00000147613	PSKH2	86048373	86069697	76	1233	1158	75	89	1322
ENST00000276654	-	ENSG00000147650	LRP12	104489250	104589006	110	2689	2580	109	1423	4112
ENST00000276659	-	ENSG00000147655	RSPO2	107899317	108083648	622	1353	732	621	1758	3111
ENST00000276692	-	ENSG00000147687	TATDN1	124488508	124539084	39	932	894	38	86	1018
ENST00000276704	-	ENSG00000189376	C8orf76	123219957	123241398	53	1195	1143	52	146	1341
ENST00000276708	-	ENSG00000147697	GSDMC	129748196	129786888	883	2409	1527	882	305	2714
ENST00000276816	-	ENSG00000170631	ZNF16	144930358	144950888	188	2236	2049	187	380	2616
ENST00000276826	-	ENSG00000147799	ARHGAP39	144529179	144605816	203	3454	3252	202	1243	4697
ENST00000276833	-	ENSG00000147804	SLC39A4	144412414	144416512	305	2173	1869	304	124	2297
ENST00000276893	+	ENSG00000147854	UHRF2	6413323	6507054	169	2577	2409	168	875	3452
ENST00000276914	-	ENSG00000147872	PLIN2	19115770	19127576	181	1494	1314	180	478	1972
ENST00000276925	-	ENSG00000147883	CDKN2B	22002903	22009363	411	827	417	410	3084	3911
ENST00000276927	+	ENSG00000197919	IFNA1	21440454	21441316	55	624	570	54	239	863
ENST00000276943	+	ENSG00000147896	IFNK	27524314	27526498	24	647	624	23	493	1140
ENST00000277120	+	ENSG00000148053	NTRK2	84669778	85027070	484	3000	2517	483	5633	8633
ENST00000277141	-	ENSG00000083223	ZCCHC6	86287733	86354410	2426	4780	2355	2425	944	5724
ENST00000277165	+	ENSG00000048828	FAM120A	93451722	93566107	195	3551	3357	194	1567	5118
ENST00000277216	-	ENSG00000148136	OR13C4	104526253	104527209	1	957	957	0	0	957
ENST00000277225	+	ENSG00000148143	ZNF462	106863097	107013634	290	7810	7521	289	2604	10414
ENST00000277309	+	ENSG00000165204	OR1K1	122800123	122801073	1	951	951	0	0	951
ENST00000277517	-	ENSG00000148377	IDI2	1018907	1025859	66	749	684	65	610	1359
ENST00000277526	+	ENSG00000148386	LCN9	135663322	135666103	1	531	531	0	0	531
ENST00000277540	-	ENSG00000148399	DPH7	137554909	137578935	159	1517	1359	158	330	1847
ENST00000277541	-	ENSG00000148400	NOTCH1	136494444	136545862	77	7744	7668	76	1627	9371
ENST00000277554	-	ENSG00000148411	NACC2	136006537	136095285	157	1920	1764	156	4979	6899
ENST00000277570	+	ENSG00000148426	PROSER2	11823398	11872277	155	1462	1308	154	1871	3333
ENST00000277746	+	ENSG00000148572	NRBF2	63133290	63155026	182	1045	864	181	808	1853
ENST00000277865	-	ENSG00000148672	GLUD1	87050486	87094866	98	1774	1677	97	1265	3039
ENST00000277900	+	ENSG00000148700	ADD3	110007964	110135565	366	2390	2025	365	1947	4337
ENST00000277905	-	ENSG00000148704	VAX1	117128521	117138301	246	806	561	245	3688	4494
ENST00000277942	-	ENSG00000148734	NPFFR1	70247329	70283676	1	1293	1293	0	7628	8921
ENST00000278060	+	ENSG00000148832	PAOX	133379234	133391694	84	1619	1536	83	239	1858
ENST00000278070	+	ENSG00000148840	PPRC1	102133030	102150325	40	5034	4995	39	296	5330
ENST00000278071	-	ENSG00000148841	ITPRIP	104309698	104333905	454	2097	1644	453	4710	6807
ENST00000278174	-	ENSG00000148925	BTBD10	13388001	13463280	247	1674	1428	246	830	2504
ENST00000278193	-	ENSG00000148943	LIN7C	27494576	27506773	22	615	594	21	4073	4688
ENST00000278198	-	ENSG00000148948	LRRC4C	40114203	40294114	1965	3887	1923	1964	167	4054
ENST00000278200	-	ENSG00000148950	IMMP1L	31432402	31509622	197	697	501	196	98	795
ENST00000278222	-	ENSG00000148965	SAA4	18231349	18236893	182	574	393	181	153	727
ENST00000278243	+	ENSG00000148985	PGAP2	3808461	3826371	202	1149	948	201	913	2062
ENST00000278314	-	ENSG00000149050	ZNF214	6999318	7020368	317	2137	1821	316	544	2681
ENST00000278319	+	ENSG00000149054	ZNF215	6926423	6957837	589	2142	1554	588	1306	3448
ENST00000278353	+	ENSG00000149084	HSD17B12	43680558	43856610	271	1209	939	270	1362	2571
ENST00000278379	-	ENSG00000110436	SLC1A2	35251206	35419249	284	2008	1725	283	9688	11696
ENST00000278409	-	ENSG00000149133	OR5F1	55993681	55994625	1	945	945	0	0	945
ENST00000278412	-	ENSG00000149136	SSRP1	57325985	57335877	268	2397	2130	267	422	2819
ENST00000278422	+	ENSG00000213593	TMX2	57712607	57740973	13	903	891	12	728	1631
ENST00000278426	-	ENSG00000149150	SLC43A1	57484534	57515786	357	2036	1680	356	562	2598
ENST00000278505	+	ENSG00000149218	ENDOD1	95089810	95132645	119	1621	1503	118	3066	4687
ENST00000278520	-	ENSG00000149231	CCDC82	96352769	96387904	430	2064	1635	429	877	2941
ENST00000278550	-	ENSG00000149256	TENM4	78652831	79440651	464	8773	8310	463	5227	14000
ENST00000278559	+	ENSG00000149260	CAPN5	77066941	77126155	190	2112	1923	189	2285	4397
ENST00000278601	+	ENSG00000149300	C11orf52	111918877	111926872	97	468	372	96	673	1141
ENST00000278612	-	ENSG00000149308	NPAT	108157215	108222642	107	4390	4284	106	1727	6117
ENST00000278616	+	ENSG00000149311	ATM	108222832	108369099	386	9556	9171	385	3591	13147
ENST00000278618	+	ENSG00000149313	AASDHPPT	106077489	106098710	223	1152	930	222	1803	2955
ENST00000278742	+	ENSG00000149418	ST14	130159562	130210376	419	2986	2568	418	553	3539
ENST00000278780	-	ENSG00000125850	OVOL2	18024152	18057877	244	1071	828	243	484	1555
ENST00000278823	-	ENSG00000149480	MTA2	62593214	62601840	391	2397	2007	390	661	3058
ENST00000278829	-	ENSG00000221968	FADS3	61873526	61891534	154	1491	1338	153	288	1779
ENST00000278833	+	ENSG00000149489	ROM1	62612741	62615120	542	1597	1056	541	281	1878
ENST00000278836	+	ENSG00000124920	MYRF	61752649	61788518	97	3552	3456	96	2375	5927
ENST00000278840	+	ENSG00000134824	FADS2	61827761	61867354	631	1965	1335	630	1665	3630
ENST00000278853	+	ENSG00000149506	ZP1	60867562	60875693	1	1917	1917	0	37	1954
ENST00000278855	+	ENSG00000149507	OOSP2	60040275	60048044	186	662	477	185	971	1633
ENST00000278865	+	ENSG00000149516	MS4A3	60056683	60071128	74	718	645	73	895	1613
ENST00000278886	-	ENSG00000101004	NINL	25452705	25585517	75	4223	4149	74	746	4969
ENST00000278903	+	ENSG00000149547	EI24	125569216	125584687	429	1451	1023	428	1004	2455
ENST00000278919	-	ENSG00000149557	FEZ1	125445761	125496310	236	1414	1179	235	334	1748
ENST00000278927	-	ENSG00000149564	ESAM	124753123	124762284	131	1303	1173	130	523	1826
ENST00000278935	+	ENSG00000110274	CEP164	117327855	117413268	148	4530	4383	147	1100	5630
ENST00000278937	-	ENSG00000149573	MPZL2	118253403	118264282	130	777	648	129	1843	2620
ENST00000278947	-	ENSG00000149575	SCN2B	118161951	118176673	243	890	648	242	4936	5826
ENST00000278949	-	ENSG00000160588	MPZL3	118226690	118252350	57	764	708	56	3204	3968
ENST00000278979	-	ENSG00000149599	DUSP15	31847637	31870664	78	965	888	77	767	1732
ENST00000278980	-	ENSG00000149600	COMMD7	32702691	32743997	607	1209	603	606	691	1900
ENST00000279022	+	ENSG00000101335	MYL9	36541484	36551447	105	623	519	104	2198	2821
ENST00000279024	-	ENSG00000149633	KIAA1755	38210488	38260772	273	3875	3603	272	2554	6429
ENST00000279027	-	ENSG00000158296	SLC13A3	46557833	46651440	20	1828	1809	19	2189	4017
ENST00000279028	-	ENSG00000149635	OCSTAMP	46540946	46550574	15	1715	1701	14	328	2043
ENST00000279036	+	ENSG00000124155	PIGT	45416067	45426244	91	1827	1737	90	418	2245
ENST00000279058	+	ENSG00000149651	SPINT4	45722351	45725830	18	317	300	17	195	512
ENST00000279068	+	ENSG00000149657	LSM14B	62122507	62135378	161	1318	1158	160	1230	2548
ENST00000279101	-	ENSG00000149679	CABLES2	62388632	62407285	10	1446	1437	9	2339	3785
ENST00000279146	+	ENSG00000110711	AIP	67483041	67491103	119	1111	993	118	110	1221
ENST00000279147	-	ENSG00000149716	ORAOV1	69665563	69675347	109	522	414	108	1956	2478
ENST00000279168	-	ENSG00000149735	GPHA2	64934471	64935888	56	445	390	55	302	747
ENST00000279178	+	ENSG00000149742	SLC22A9	63369808	63410294	250	1911	1662	249	432	2343
ENST00000279206	+	ENSG00000149761	NUDT22	64226290	64230016	157	1068	912	156	26	1094
ENST00000279227	+	ENSG00000149781	FERMT3	64206734	64223882	96	2099	2004	95	390	2489
ENST00000279242	+	ENSG00000149792	MRPL49	65122328	65127371	20	520	501	19	1499	2019
ENST00000279249	+	ENSG00000149798	CDC42EP2	65314818	65322429	493	1125	633	492	898	2023
ENST00000279263	+	ENSG00000149809	TM7SF2	65111854	65116356	163	1419	1257	162	303	1722
ENST00000279281	+	ENSG00000149823	VPS51	65096159	65111860	93	2441	2349	92	273	2714
ENST00000279387	+	ENSG00000149923	PPP4C	30075990	30085377	169	1092	924	168	315	1407
ENST00000279392	-	ENSG00000149929	HIRIP3	29992321	29996436	832	2502	1671	831	886	3388
ENST00000279441	-	ENSG00000166670	MMP10	102770503	102780628	38	1468	1431	37	290	1758
